Genus	pHAGD7_f2	pHAGD7_f3	pHAGD7_f7	pHAGD7_f8
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Syntrophomonadaceae_ge	28	16	35	15
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Syntrophomonadaceae_unclassified	68	112	15	19
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Syntrophomonas	62	135	17	59
Bacteria;Firmicutes;Clostridia;Clostridiales;uncultured;uncultured_ge	0	6	0	0
Bacteria;Firmicutes;Clostridia;D8A-2;D8A-2_fa;D8A-2_ge	166	56	44	88
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halobacteroidaceae;uncultured	3	1	1	2
Bacteria;Firmicutes;Clostridia;Halanaerobiales;ODP1230B8.23;ODP1230B8.23_ge	0	23	0	3
Bacteria;Firmicutes;Clostridia;NRB23;NRB23_fa;NRB23_ge	0	1	2	4
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;SRB2;SRB2_ge	0	0	0	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Gelria	384	299	156	180
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium	0	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;uncultured	0	0	0	0
Bacteria;Firmicutes;Firmicutes_unclassified;Firmicutes_unclassified;Firmicutes_unclassified;Firmicutes_unclassified	298	225	70	144
Bacteria;Firmicutes;Limnochordia;Limnochordales;Limnochordaceae;Limnochordaceae_ge	463	358	203	586
Bacteria;Firmicutes;Negativicutes;Selenomonadales;uncultured;uncultured_ge	1	36	13	17
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Anaerosporomusa	8	1	0	0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Pelosinus	0	0	0	0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Selenomonas_3	0	0	1	0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Sporomusa	57	27	2	1
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;uncultured	67	83	27	39
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonellaceae_unclassified	0	0	0	0
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	0	0	0	0
Bacteria;GAL15;GAL15_cl;GAL15_or;GAL15_fa;GAL15_ge	0	0	0	0
Bacteria;Gemmatimonadetes;BD2-11_terrestrial_group;BD2-11_terrestrial_group_or;BD2-11_terrestrial_group_fa;BD2-11_terrestrial_group_ge	0	0	0	0
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonadaceae_unclassified	0	0	0	0
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas	17	18	6	7
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatirosa	15	1	0	2
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured	23	8	12	19
Bacteria;Gemmatimonadetes;Longimicrobia;Longimicrobiales;Longimicrobiaceae;Longimicrobiaceae_ge	0	0	0	0
Bacteria;Gemmatimonadetes;Longimicrobia;Longimicrobiales;Longimicrobiaceae;Longimicrobium	0	0	0	0
Bacteria;Gemmatimonadetes;S0134_terrestrial_group;S0134_terrestrial_group_or;S0134_terrestrial_group_fa;S0134_terrestrial_group_ge	35	0	1	2
Bacteria;Gracilibacteria;Gracilibacteria_cl;Gracilibacteria_or;Gracilibacteria_fa;Gracilibacteria_ge	0	0	0	0
Bacteria;Hydrogenedentes;Hydrogenedentes_cl;Hydrogenedentes_or;Hydrogenedentes_fa;Hydrogenedentes_ge	150	47	35	43
Bacteria;Hydrogenedentes;Hydrogenedentes_unclassified;Hydrogenedentes_unclassified;Hydrogenedentes_unclassified;Hydrogenedentes_unclassified	0	14	0	4
Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;BSV26;BSV26_ge	5	11	6	4
Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;BSV40;BSV40_ge	2369	1532	869	1516
Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium	7	3	6	40
Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;Ignavibacteriales_fa;Ignavibacteriales_ge	0	0	1	1
Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;Ignavibacteriales_unclassified;Ignavibacteriales_unclassified	1315	798	426	731
Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;IheB3-7;IheB3-7_ge	11	7	0	0
Bacteria;KSB3_(Modulibacteria);KSB3_(Modulibacteria)_cl;KSB3_(Modulibacteria)_or;KSB3_(Modulibacteria)_fa;KSB3_(Modulibacteria)_ge	6	3	0	0
Bacteria;Latescibacteria;Latescibacteria_cl;Latescibacteria_or;Latescibacteria_fa;Latescibacteria_ge	0	4	5	7
Bacteria;Latescibacteria;Latescibacteria_Incertae_Sedis;Unknown_Order;Unknown_Family;Candidatus_Latescibacter	282	110	65	92
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;PRD18C08;PRD18C08_ge	12	0	0	0
Bacteria;Lentisphaerae;Oligosphaeria;Oligosphaerales;MVP-94;MVP-94_ge	26	49	4	1
Bacteria;Microgenomates;Candidatus_Amesbacteria;Candidatus_Amesbacteria_or;Candidatus_Amesbacteria_fa;Candidatus_Amesbacteria_ge	0	0	0	0
Bacteria;Microgenomates;Candidatus_Woesebacteria;Candidatus_Woesebacteria_or;Candidatus_Woesebacteria_fa;Candidatus_Woesebacteria_ge	0	0	0	0
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;0319-6A21;0319-6A21_ge	80	27	14	16
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;FW13;FW13_ge	73	61	13	20
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira	7	5	3	6
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Thermodesulfovibrio	0	0	0	0
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;uncultured	13	5	1	13
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Sh765B-TzT-35;Sh765B-TzT-35_ge	109	94	92	185
Bacteria;Omnitrophica;Omnitrophica_cl;Omnitrophica_or;Omnitrophica_fa;Omnitrophica_ge	67	11	24	6
Bacteria;Omnitrophica;Omnitrophica_Incertae_Sedis;Unknown_Order;Unknown_Family;Candidatus_Omnitrophus	0	0	0	6
Bacteria;Parcubacteria;Candidatus_Azambacteria;Candidatus_Azambacteria_or;Candidatus_Azambacteria_fa;Candidatus_Azambacteria_ge	0	0	0	0
Bacteria;Parcubacteria;Candidatus_Falkowbacteria;Candidatus_Falkowbacteria_or;Candidatus_Falkowbacteria_fa;Candidatus_Falkowbacteria_ge	0	0	0	0
Bacteria;Parcubacteria;Candidatus_Jorgensenbacteria;Candidatus_Jorgensenbacteria_or;Candidatus_Jorgensenbacteria_fa;Candidatus_Jorgensenbacteria_ge	0	0	0	0
Bacteria;Parcubacteria;Candidatus_Moranbacteria;Candidatus_Moranbacteria_or;Candidatus_Moranbacteria_fa;Candidatus_Moranbacteria_ge	1	4	0	0
Bacteria;Parcubacteria;Parcubacteria_cl;Parcubacteria_or;Parcubacteria_fa;Parcubacteria_ge	2	0	0	0
Bacteria;Parcubacteria;Parcubacteria_unclassified;Parcubacteria_unclassified;Parcubacteria_unclassified;Parcubacteria_unclassified	0	0	0	0
Bacteria;PAUC34f;PAUC34f_cl;PAUC34f_or;PAUC34f_fa;PAUC34f_ge	2	3	3	1
Bacteria;Peregrinibacteria;Candidatus_Peribacteria;Candidatus_Peribacteria_or;Candidatus_Peribacteria_fa;Candidatus_Peribacteria_ge	0	0	0	0
Bacteria;Planctomycetes;BD7-11;BD7-11_or;BD7-11_fa;BD7-11_ge	8	0	0	3
Bacteria;Planctomycetes;MD2896-B258;MD2896-B258_or;MD2896-B258_fa;MD2896-B258_ge	0	0	0	0
Bacteria;Planctomycetes;OM190;OM190_or;OM190_fa;OM190_ge	0	0	0	0
Bacteria;Planctomycetes;Phycisphaerae;CCM11a;CCM11a_fa;CCM11a_ge	0	0	0	0
Bacteria;Planctomycetes;Phycisphaerae;CPla-3_termite_group;CPla-3_termite_group_fa;CPla-3_termite_group_ge	23	38	28	25
Bacteria;Planctomycetes;Phycisphaerae;KCLunmb-38-53;KCLunmb-38-53_fa;KCLunmb-38-53_ge	0	1	3	2
Bacteria;Planctomycetes;Phycisphaerae;mle1-8;mle1-8_fa;mle1-8_ge	8	11	10	9
Bacteria;Planctomycetes;Phycisphaerae;MSBL9;MSBL9_fa;MSBL9_ge	233	220	47	68
Bacteria;Planctomycetes;Phycisphaerae;ODP1230B30.09;ODP1230B30.09_fa;ODP1230B30.09_ge	0	0	1	4
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerae_unclassified;Phycisphaerae_unclassified;Phycisphaerae_unclassified	50	14	18	46
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;08D2Z94_hypersaline_microbial_mat_group;08D2Z94_hypersaline_microbial_mat_group_ge	25	10	3	5
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;AKAU3564_sediment_group;AKAU3564_sediment_group_ge	22	36	15	19
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;ODP1230B30.02_sediment_group;ODP1230B30.02_sediment_group_ge	3	4	13	4
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02	0	0	0	0
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;uncultured	3	0	0	2
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaerales_fa;Phycisphaerales_ge	0	0	0	0
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaerales_unclassified;Phycisphaerales_unclassified	37	39	25	15
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;SBYZ-984;SBYZ-984_ge	4	1	2	9
Bacteria;Planctomycetes;Phycisphaerae;Pla1_lineage;Pla1_lineage_fa;Pla1_lineage_ge	48	28	37	50
Bacteria;Planctomycetes;Phycisphaerae;S15A-MN16;S15A-MN16_fa;S15A-MN16_ge	42	2	0	0
Bacteria;Planctomycetes;Phycisphaerae;SHA-43;SHA-43_fa;SHA-43_ge	1	5	2	0
Bacteria;Planctomycetes;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae;Tepidisphaeraceae_ge	190	157	81	116
Bacteria;Planctomycetes;Pla3_lineage;Pla3_lineage_or;Pla3_lineage_fa;Pla3_lineage_ge	51	11	26	20
Bacteria;Planctomycetes;Pla4_lineage;Pla4_lineage_or;Pla4_lineage_fa;Pla4_lineage_ge	4	30	28	9
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Candidatus_Anammoximicrobium	0	0	1	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Candidatus_Nostocoida	0	0	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Gemmata	1	4	5	1
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Isosphaera	60	7	7	6
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Pir1_lineage	0	0	1	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Pir2_lineage	18	2	2	2
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Pir3_lineage	6	0	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Pir4_lineage	59	78	20	37
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Pirellula	7	0	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomyces	0	0	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomycetaceae_unclassified	21	34	17	15
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Rhodopirellula	0	0	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Singulisphaera	3	11	1	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Thermogutta	0	0	0	0
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;uncultured	72	84	33	53
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Zavarzinella	3	1	0	0
Bacteria;Planctomycetes;Planctomycetes_unclassified;Planctomycetes_unclassified;Planctomycetes_unclassified;Planctomycetes_unclassified	10	7	10	11
Bacteria;Planctomycetes;vadinHA49;vadinHA49_or;vadinHA49_fa;vadinHA49_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria_unclassified;Alphaproteobacteria_unclassified;Alphaproteobacteria_unclassified	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	0	17	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacteraceae_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacteraceae_unclassified	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium	78	35	36	38
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;uncultured	1	2	1	18
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hirschia	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Woodsholea	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;1174-901-12;1174-901-12_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;A0839;A0839_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;alphaI_cluster;alphaI_cluster_ge	3	21	17	9
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Aurantimonas	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Aureimonas	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylorosula	0	0	1	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium	26	85	46	92
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodoblastus	5	0	4	12
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Tardiphaga	1	0	0	20
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;DUNssu044;DUNssu044_ge	8	1	0	18
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia	0	1	0	8
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium	64	31	32	61
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium	1	5	2	16
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Prosthecomicrobium	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodomicrobium	36	41	30	10
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes	11	1	0	6
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;JG34-KF-361;JG34-KF-361_ge	0	0	1	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;KF-JG30-B3;KF-JG30-B3_ge	9	1	0	5
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium	47	20	33	15
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga	91	44	23	65
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Methylocystaceae_unclassified	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Methylocystis	267	183	133	141
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Pleomorphomonas	1	0	4	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;MNG7;MNG7_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Aminobacter	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Kaistia	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_fa;Rhizobiales_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Alsobacter	13	23	7	14
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Bauldia	0	3	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Nordella	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Rhizomicrobium	107	20	3	17
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_unclassified;Rhizobiales_unclassified	3	16	10	11
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;uncultured	116	151	57	143
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Roseiarcaceae;Roseiarcus	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Labrys	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys	32	26	17	32
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;uncultured	116	60	59	100
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Variibacter	9	1	10	22
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacteraceae_unclassified	6	0	9	8
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Cereibacter	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus	1	0	1	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubellimicrobium	0	2	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified	3	2	1	9
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidicaldus	1	15	8	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium	0	8	0	9
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisphaera	5	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Belnapia	168	34	17	29
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Craurococcus	0	0	2	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Paracraurococcus	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Rhodovastum	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas	1	33	6	20
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;uncultured	25	1	3	6
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;DA111;DA111_ge	118	112	58	118
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;I-10;I-10_ge	13	3	5	8
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;JG37-AG-20;JG37-AG-20_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;KCM-B-15;KCM-B-15_ge	3	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;KCM-B-60;KCM-B-60_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;ML80;ML80_ge	3	5	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;MND8;MND8_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;MSB-1E8;MSB-1E8_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum	0	1	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Defluviicoccus	1194	856	451	676
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Dongia	2	0	2	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Ferrovibrio	0	10	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Inquilinus	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum	7	0	9	12
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Nitrospirillum	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Phaeospirillum	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillaceae_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillaceae_unclassified	247	252	81	138
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Skermanella	168	76	32	46
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Telmatospirillum	0	1	2	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;uncultured	46	18	2	9
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillales_Incertae_Sedis;Candidatus_Alysiosphaera	1	0	6	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillales_Incertae_Sedis;Geminicoccus	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillales_Incertae_Sedis;Reyranella	0	8	6	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillales_unclassified;Rhodospirillales_unclassified	67	67	21	43
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;bac2nit3;bac2nit3_ge	0	0	1	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Holosporaceae;Holosporaceae_unclassified	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Holosporaceae;uncultured	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;Mitochondria_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;RB446;RB446_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsiaceae_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsiaceae_unclassified	1	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;uncultured	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiales_Incertae_Sedis;Candidatus_Hepatincola	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiales_Incertae_Sedis;Candidatus_Odyssella	0	2	1	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiales_Incertae_Sedis;uncultured	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiales_unclassified;Rickettsiales_unclassified	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SM2D12;SM2D12_ge	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;uncultured;uncultured_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;7B-8;7B-8_ge	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Ellin6055;Ellin6055_ge	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Porphyrobacter	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;JG34-KF-161;JG34-KF-161_ge	0	0	2	4
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium	0	0	2	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Polymorphobacter	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Rhizorhapis	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	141	95	57	81
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadales_unclassified;Sphingomonadales_unclassified	2	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;B1-7BS;B1-7BS_fa;B1-7BS_ge	3	1	3	1
Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria_Incertae_Sedis;Unknown_Family;Chitinivorax	0	0	0	0
