Genus	pHAGD7_f2	pHAGD7_f3	pHAGD7_f7	pHAGD7_f8
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura	2	1	4	1
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Spirillospora	0	0	3	1
Bacteria;Actinobacteria;Actinobacteria_unclassified;Actinobacteria_unclassified;Actinobacteria_unclassified;Actinobacteria_unclassified	2	4	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Atopobium	1	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;uncultured	585	326	248	400
Bacteria;Actinobacteria;KIST-JJY010;KIST-JJY010_or;KIST-JJY010_fa;KIST-JJY010_ge	0	0	0	0
Bacteria;Actinobacteria;MB-A2-108;MB-A2-108_or;MB-A2-108_fa;MB-A2-108_ge	2	5	7	24
Bacteria;Actinobacteria;OPB41;OPB41_or;OPB41_fa;OPB41_ge	3	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella	54	75	63	109
Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellales_unclassified;Gaiellales_unclassified	6	0	5	1
Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured;uncultured_ge	240	144	134	304
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;0319-6M6;0319-6M6_ge	17	16	13	30
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;288-2;288-2_ge	0	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter	0	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Elev-16S-1332;Elev-16S-1332_ge	90	29	35	30
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;FFCH13075;FFCH13075_ge	0	0	0	1
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Gsoil-1167;Gsoil-1167_ge	95	18	37	56
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;p35j06ok;p35j06ok_ge	2	5	6	3
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Parviterribacteraceae;Parviterribacter	44	12	19	66
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Patulibacteraceae;Patulibacter	1	0	3	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter	43	12	26	40
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacterales_unclassified;Solirubrobacterales_unclassified	122	57	74	71
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;TM146;TM146_ge	2	7	0	1
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;uncultured;uncultured_ge	1	4	2	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;YNPFFP1;YNPFFP1_ge	55	1	3	18
Bacteria;Actinobacteria;Thermoleophilia;Thermoleophilia_unclassified;Thermoleophilia_unclassified;Thermoleophilia_unclassified	0	0	1	1
Bacteria;Aminicenantes;Aminicenantes_cl;Aminicenantes_or;Aminicenantes_fa;Aminicenantes_ge	0	0	0	0
Bacteria;Armatimonadetes;Armatimonadetes_unclassified;Armatimonadetes_unclassified;Armatimonadetes_unclassified;Armatimonadetes_unclassified	0	0	0	0
Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadales_fa;Armatimonadales_ge	0	0	1	0
Bacteria;Armatimonadetes;Chthonomonadetes;Chthonomonadales;Chthonomonadaceae;Chthonomonas	11	0	1	0
Bacteria;Armatimonadetes;Chthonomonadetes;Chthonomonadales;Chthonomonadales_fa;Chthonomonadales_ge	87	94	57	63
Bacteria;Armatimonadetes;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;Fimbriimonadaceae_ge	3	0	2	0
Bacteria;Armatimonadetes;uncultured;uncultured_or;uncultured_fa;uncultured_ge	776	451	170	446
Bacteria;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified	669	548	179	395
Bacteria;Bacteroidetes;Bacteroidetes_unclassified;Bacteroidetes_unclassified;Bacteroidetes_unclassified;Bacteroidetes_unclassified	178	100	19	6
Bacteria;Bacteroidetes;Bacteroidetes_vadinHA17;Bacteroidetes_vadinHA17_or;Bacteroidetes_vadinHA17_fa;Bacteroidetes_vadinHA17_ge	3543	2159	589	725
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_unclassified;Bacteroidales_unclassified	1	0	0	2
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Paludibacter	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;uncultured	17	62	5	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_7	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;BSV13	280	158	20	63
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Adhaeribacter	0	7	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga	0	0	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophagaceae_unclassified	0	0	0	0
